,title,year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,release_date,production_budget,worldwide_gross,domestic_roi,worldwide_roi,original_language,original_title,popularity,vote_average,vote_count,title_change
488,Misconduct,2016.0,106.0,"Crime,Drama,Mystery",5.3,13550.0,,,0.0,2016-02-05,11000000.0,2352511.0,-1.0,-0.7861353636363636,en,Misconduct,7.2989999999999995,5.5,301,False
489,Miss Sloane,2016.0,132.0,"Drama,Thriller",7.5,52788.0,EC,3500000.0,1.0,2016-11-25,18000000.0,7719630.0,-0.8055219444444445,-0.5711316666666667,en,Miss Sloane,12.215,7.4,912,False
490,Moana,2016.0,107.0,"Adventure,Animation,Comedy",7.6,224253.0,BV,248800000.0,1.0,2016-11-23,150000000.0,637517365.0,0.6583802933333334,3.2501157666666667,en,Moana,4.419,7.5,6907,False
491,Money Monster,2016.0,98.0,"Crime,Drama,Thriller",6.5,86607.0,TriS,41000000.0,1.0,2016-05-13,27000000.0,93466095.0,0.5189657407407408,2.461707222222222,en,Money Monster,11.134,6.4,1859,False
492,Monsters University,2013.0,104.0,"Adventure,Animation,Comedy",7.3,291887.0,BV,268500000.0,1.0,2013-06-21,200000000.0,743588329.0,0.342441645,2.717941645,en,Monsters University,20.33,7.0,6362,False
493,Monte Carlo,2011.0,109.0,"Adventure,Comedy,Family",5.8,38731.0,Fox,23200000.0,1.0,2011-07-01,20000000.0,39686769.0,0.15933845,0.98433845,en,Monte Carlo,11.017000000000001,6.2,1193,False
494,Moonrise Kingdom,2012.0,94.0,"Adventure,Comedy,Drama",7.8,291750.0,Focus,45500000.0,1.0,2012-05-25,16000000.0,68848446.0,1.844529125,3.303027875,en,Moonrise Kingdom,14.085999999999999,7.7,3023,False
495,Morgan,2016.0,92.0,"Action,Horror,Sci-Fi",5.8,35487.0,Fox,3900000.0,1.0,2016-09-02,8000000.0,7298786.0,-0.510593625,-0.08765175,en,Morgan,9.912,5.7,843,False
496,Morning Glory,2010.0,107.0,"Comedy,Drama,Romance",6.5,67367.0,Par.,31000000.0,1.0,2010-11-10,40000000.0,59795070.0,-0.2247067,0.49487675,en,Morning Glory,10.595,6.3,717,False
497,Mortal Engines,2018.0,128.0,"Action,Adventure,Fantasy",6.1,70193.0,Uni.,16000000.0,1.0,2018-12-14,100000000.0,85287417.0,-0.8404896,-0.14712583,en,Mortal Engines,40.095,6.0,1751,False
498,Mortdecai,2015.0,107.0,"Action,Comedy,Crime",5.5,61366.0,LGF,7700000.0,1.0,2015-01-23,60000000.0,30396134.0,-0.8717311,-0.4933977666666667,en,Mortdecai,13.263,5.4,1666,False
499,Movie 43,2013.0,94.0,Comedy,4.3,92980.0,Rela.,8800000.0,1.0,2013-01-25,10000000.0,31164747.0,-0.1159547,2.1164747,en,Movie 43,12.812999999999999,4.4,1332,False
500,Mr. Peabody & Sherman,2014.0,92.0,"Adventure,Animation,Comedy",6.8,57277.0,Fox,111500000.0,1.0,2014-03-07,145000000.0,269806430.0,-0.23099013793103448,0.860734,en,Mr. Peabody & Sherman,12.812999999999999,6.6,1357,False
501,Mr. Turner,2014.0,150.0,"Biography,Drama,History",6.8,22661.0,SPC,4000000.0,1.0,2014-12-19,14000000.0,25187026.0,-0.7172467142857143,0.7990732857142857,en,Mr. Turner,7.8839999999999995,6.5,301,False
502,Muppets Most Wanted,2014.0,107.0,"Adventure,Comedy,Crime",6.4,29018.0,BV,51200000.0,1.0,2014-03-21,55000000.0,79312301.0,-0.06947467272727273,0.44204183636363636,en,Muppets Most Wanted,9.118,6.2,473,False
503,Murder on the Orient Express,2017.0,114.0,"Crime,Drama,Mystery",6.5,178603.0,,,0.0,2017-11-10,55000000.0,345922730.0,0.8695735090909091,5.289504181818182,en,Murder on the Orient Express,15.937000000000001,6.7,5406,False
